chromosome1	x1	x2	chromosome2	y1	y2	color	APScoreAvg	ProbabilityofEnrichment	RegAPScoreAvg	Avg_diffMaxNeihgboor_1	Avg_diffMaxNeihgboor_2	avg	std	value
chrIV	11080000	11090000	chrIV	12030000	12040000	0,0,0	2.3908887	0.91703415	1.4092921	0.973928	1.1100935	1.623871	0.44560674	2.4895847
chrIV	2820000	2830000	chrIV	3950000	3960000	0,0,0	3.0024223	1.0	1.8232182	0.94014823	1.2092406	1.9008092	0.4031979	2.7364964
chrIV	10350000	10360000	chrIV	10950000	10960000	0,0,0	6.229573	1.0	1.9321847	3.6205223	3.8799434	2.0608778	1.575076	5.27912
chrIV	12890000	12900000	chrIV	13620000	13630000	0,0,0	2.611508	1.0	1.7485926	0.7272035	0.8091318	1.6250441	0.24314892	2.2714472
chrIV	5440000	5450000	chrIV	6270000	6280000	0,0,0	2.009806	0.9127561	1.4413446	0.62748015	0.76429296	1.8815398	0.24241991	2.4393
chrIV	4390000	4400000	chrIV	4720000	4730000	0,0,0	2.8488479	1.0	1.5827994	1.1808313	1.3234402	1.7065555	0.49745372	2.7561834
chrIV	3310000	3320000	chrIV	4720000	4730000	0,0,0	5.303542	0.9981649	1.735164	4.3500705	4.4495077	2.4345841	1.4707291	6.3013134
chrIV	15750000	15760000	chrIV	17030000	17040000	0,0,0	2.2636092	0.925295	1.4125706	0.7556806	1.1462742	1.9227608	0.5415687	2.594477
chrIV	3180000	3190000	chrIV	3920000	3930000	0,0,0	2.5815625	0.93042564	1.49176	0.7202587	1.3981423	2.0254061	0.3971191	2.665636
chrX	16200000	16210000	chrX	17180000	17190000	0,0,0	2.5564458	0.9471015	1.380607	1.2755872	1.4748778	1.8058292	0.44048163	2.9396844
chrX	14520000	14530000	chrX	14810000	14820000	0,0,0	2.7653735	0.9506809	1.5537009	1.2310184	1.4450388	1.915517	0.45563322	3.0097556
chrX	16050000	16060000	chrX	17540000	17550000	0,0,0	3.5496407	0.9926969	1.4277896	2.7920775	3.1992478	2.438119	1.0572062	4.9199657
chrX	3110000	3120000	chrX	4140000	4150000	0,0,0	2.4253254	0.93091846	1.4729036	0.6346966	1.3226253	2.10857	0.2901686	2.672745
chrX	16050000	16060000	chrX	16200000	16210000	0,0,0	5.3255916	0.9964671	1.8679897	3.3204591	4.0675435	2.6947124	1.2222441	5.646231
chrX	11090000	11100000	chrX	11930000	11940000	0,0,0	6.041595	1.0	2.0962908	3.1704898	3.9311612	2.588176	1.1766878	5.406389
chrX	410000	420000	chrX	800000	810000	0,0,0	2.8962502	0.99094963	1.5698451	1.936291	2.398987	2.9842916	0.8976258	4.705439
chrX	2360000	2370000	chrX	2990000	3000000	0,0,0	3.243635	0.9737176	1.4947245	1.7932396	2.169332	2.0452414	0.5999718	3.6392322
chrX	8030000	8040000	chrX	9460000	9470000	0,0,0	4.9839625	1.0	1.9795985	2.7786872	3.1363428	2.334981	1.0480769	4.8049254
chrX	9460000	9470000	chrX	11930000	11940000	0,0,0	3.8033774	0.98013395	1.5724294	2.0328593	2.5755339	2.1121645	0.8553296	3.9191504
chrX	8030000	8040000	chrX	11090000	11100000	0,0,0	4.6940565	0.9911685	1.7359602	2.8041883	3.2552428	2.2373064	1.0168297	4.7299185
chrX	1900000	1910000	chrX	2990000	3000000	0,0,0	4.642298	1.0	2.1955519	1.9847139	2.6592333	2.6699162	0.82996845	4.4341063
chrX	800000	810000	chrX	1340000	1350000	0,0,0	4.2794914	0.9948907	1.8229885	2.8977532	3.2842913	2.7014587	1.0301193	5.2772393
chrX	1380000	1390000	chrX	1880000	1890000	0,0,0	2.9612134	0.9566294	1.8560085	1.1385884	1.2608585	2.1262202	0.4695852	3.1382992
chrX	16200000	16210000	chrX	17540000	17550000	0,0,0	3.5902357	0.9940799	1.5360994	2.5211496	3.3254664	2.8889108	0.9705578	5.129933
chrX	15740000	15750000	chrX	16200000	16210000	0,0,0	2.4043922	1.0	1.4341664	0.7391925	1.0854492	1.6506917	0.39080298	2.3077517
chrX	13440000	13450000	chrX	13700000	13710000	0,0,0	2.458744	0.9202237	1.5617092	0.68382573	1.0996351	1.9209461	0.3616657	2.5287912
chrX	11930000	11940000	chrX	13510000	13520000	0,0,0	3.6555383	0.983543	1.4156833	2.234302	2.8152578	2.1213825	0.81704926	4.107429
chrX	4200000	4210000	chrX	4390000	4400000	0,0,0	3.9875565	1.0	1.9555984	1.668673	2.270661	2.416454	0.66947615	3.8997192
chrX	7180000	7190000	chrX	8030000	8040000	0,0,0	3.321481	0.96812695	1.4973701	1.6624066	2.1261222	1.9686571	0.68154365	3.4463518
chrX	4200000	4210000	chrX	5420000	5430000	0,0,0	3.2759614	0.96368325	1.57964	1.5197845	1.9228582	1.9648999	0.68448466	3.3158193
chrX	11930000	11940000	chrX	12360000	12370000	0,0,0	4.1613693	0.9914372	1.8476363	2.09827	3.0868492	2.895693	0.9143468	4.760822
chrX	17510000	17520000	chrX	17630000	17640000	0,0,0	3.224737	1.0	1.8859241	0.94431937	1.1787473	1.705542	0.425682	2.544937
chrX	16680000	16690000	chrX	17180000	17190000	0,0,0	3.7046015	0.9853484	1.6587923	2.1891773	2.5498514	2.2777073	0.7849348	4.223643
chrX	13510000	13520000	chrX	13700000	13710000	0,0,0	3.642606	0.9764773	1.7428482	1.5690122	2.2715282	2.3555033	0.75059205	3.7501805
chrX	17260000	17270000	chrX	17690000	17700000	0,0,0	3.9054601	1.0	2.3067105	1.1924201	1.526799	2.2591953	0.43454126	3.3191245
chrX	14520000	14530000	chrX	16210000	16220000	0,0,0	3.5697083	0.97353977	1.6296277	1.459221	2.3550785	2.335404	0.7145874	3.632489
chrX	9460000	9470000	chrX	11090000	11100000	0,0,0	6.1945124	0.999331	1.9476503	4.619961	5.521172	3.2038274	1.5607911	7.3104587
chrX	3830000	3840000	chrX	4140000	4150000	0,0,0	2.4445095	1.0	1.5085866	0.51897424	0.94692767	1.5553293	0.30288914	2.0166397
chrX	6290000	6300000	chrX	7180000	7190000	0,0,0	3.08194	0.95467186	1.608038	1.1753392	1.7244245	2.0494015	0.609583	3.0941477
chrX	1620000	1630000	chrX	1900000	1910000	0,0,0	3.1109378	0.97868115	1.734902	1.4810603	1.9193189	2.5320654	0.5939677	3.8485632
chrX	320000	330000	chrX	590000	600000	0,0,0	2.1729267	0.9376332	1.4520619	0.78894824	1.0439706	2.0737228	0.33442077	2.77501
chrX	17090000	17100000	chrX	17690000	17700000	0,0,0	3.2659612	1.0	2.5203428	0.62018216	0.7692217	2.474399	0.34027687	3.025672
chrX	2990000	3000000	chrX	4200000	4210000	0,0,0	4.5582423	1.0	1.6599135	2.810869	3.0999258	2.0362616	1.0444156	4.534812
chrX	12360000	12370000	chrX	13690000	13700000	0,0,0	2.5060232	0.93164283	1.4542162	0.9960877	1.261654	1.7978759	0.4772496	2.6832871
chrX	12360000	12370000	chrX	13510000	13520000	0,0,0	3.4945486	0.9804526	1.4011205	2.1728344	2.5971384	2.0039134	0.7644017	3.935322
chrX	13700000	13710000	chrX	14520000	14530000	0,0,0	3.669154	1.0	1.7637953	1.6146429	2.1417444	2.199337	0.66795474	3.6345754
chrX	1380000	1390000	chrX	1620000	1630000	0,0,0	3.6834311	0.97873974	1.9394724	1.578063	2.0601015	2.4485922	0.68596625	3.851315
chrX	16200000	16210000	chrX	16680000	16690000	0,0,0	4.888938	0.9986247	1.7563659	3.751081	4.7219033	3.2554588	1.3960215	6.5897527
chrX	11930000	11940000	chrX	13700000	13710000	0,0,0	3.1812253	0.9629923	1.683486	1.1388572	1.8559364	2.2846544	0.5652688	3.2969718
chrX	17180000	17190000	chrX	17540000	17550000	0,0,0	3.0457644	0.9928025	1.3577098	2.5370378	3.0047112	2.6793883	0.9039798	4.934533
chrX	15730000	15740000	chrX	16050000	16060000	0,0,0	2.6226254	0.9320265	1.4634756	1.0234315	1.3452355	1.7791994	0.45437008	2.6889162
chrX	5420000	5430000	chrX	6290000	6300000	0,0,0	5.0673327	0.99686503	2.138441	2.6290827	3.8925858	3.4287672	1.0969118	5.7657294
chrX	10680000	10690000	chrX	11030000	11040000	0,0,0	2.3673084	1.0	1.4565574	0.8047256	0.91911775	1.4830328	0.27146217	2.1983445
chrX	16820000	16830000	chrX	17660000	17670000	0,0,0	3.4497135	1.0	2.1704266	1.0950432	1.3651756	2.3275957	0.49016845	3.3009675
chrX	16680000	16690000	chrX	17540000	17550000	0,0,0	4.5037756	0.9995664	1.6665994	4.4386735	5.4032435	3.7986383	1.4779398	7.7441263
chrX	16960000	16970000	chrX	17630000	17640000	0,0,0	2.771931	0.95058227	1.8442347	1.0226007	1.0615462	2.09878	0.49900475	3.0077584
chrX	16050000	16060000	chrX	16680000	16690000	0,0,0	5.019857	0.99759376	1.7780346	3.58904	4.290455	2.8400695	1.1980025	6.030327
chrX	6290000	6300000	chrX	8030000	8040000	0,0,0	6.720404	0.99929947	1.9363704	4.8805923	5.639866	2.9261205	1.7171464	7.2644243
chrI	9380000	9390000	chrI	9720000	9730000	0,0,0	2.7766647	1.0	1.2743907	1.2690914	1.6061221	1.5224427	0.4884237	2.650524
chrI	11430000	11440000	chrI	13210000	13220000	0,0,0	3.106769	0.9782965	1.4772854	2.074653	2.1020026	1.9865437	0.92402613	3.8306797
chrI	12360000	12370000	chrI	13210000	13220000	0,0,0	2.2779546	0.9342591	1.6829072	0.6301906	0.7960352	2.162147	0.33415565	2.7223165
chrI	10940000	10950000	chrI	11390000	11400000	0,0,0	2.7893198	1.0	1.6335957	1.1711259	1.1968927	1.7122312	0.49951094	2.753232
chrI	6670000	6680000	chrI	8170000	8180000	0,0,0	2.5213563	0.94774246	1.7477738	0.87550974	0.9773572	2.1736462	0.35430175	2.951877
chrI	11720000	11730000	chrI	13090000	13100000	0,0,0	2.4130898	0.93712217	1.5991673	0.82586235	1.0452619	2.0327487	0.3760721	2.7668488
chrI	570000	580000	chrI	930000	940000	0,0,0	2.243921	0.9193406	1.2842623	1.1066016	1.1291684	1.5341352	0.43627426	2.517781
chrI	2340000	2350000	chrI	2540000	2550000	0,0,0	1.9598904	1.0	1.423212	0.31244493	0.66284513	1.636604	0.16313206	1.9143327
chrI	14100000	14110000	chrI	15040000	15050000	0,0,0	4.149511	1.0	2.696392	1.0219928	1.2871757	2.3778605	0.5761031	3.2862985
chrI	11260000	11270000	chrI	12350000	12360000	0,0,0	2.4455917	0.94736016	1.4041218	1.2251483	1.3467546	1.8555663	0.48592824	2.944587
chrI	2220000	2230000	chrI	2540000	2550000	0,0,0	2.2527378	1.0	1.4846175	0.6372423	0.796644	1.5269009	0.3064968	2.0933385
chrI	12400000	12410000	chrI	13110000	13120000	0,0,0	2.5166616	0.93332005	1.866149	0.6649884	0.7612624	2.1170309	0.3396413	2.7081318
chrI	11710000	11720000	chrI	12350000	12360000	0,0,0	2.2955086	0.93348604	1.5246845	0.76840687	1.0380127	2.027596	0.37123078	2.7106242
chrI	930000	940000	chrI	2240000	2250000	0,0,0	2.2416382	0.9266025	1.4610646	0.8675379	0.9874604	1.8409909	0.5642516	2.6121356
chrI	260000	270000	chrI	770000	780000	0,0,0	1.8674369	0.9049094	1.2570685	0.74670434	0.82841206	1.6894319	0.4264941	2.353169
chrI	14460000	14470000	chrI	15030000	15040000	0,0,0	4.588035	1.0	2.6123812	1.194475	1.391661	1.8942727	0.51785755	2.9560282
chrI	2240000	2250000	chrI	2800000	2810000	0,0,0	2.373648	1.0	1.5518231	0.6585844	0.7883647	1.480569	0.2616473	2.0659773
chrV	14130000	14140000	chrV	16360000	16370000	0,0,0	3.9540284	0.9890735	1.7794503	2.1736698	2.7947435	2.584881	1.1127717	4.5170317
chrV	20410000	20420000	chrV	20840000	20850000	0,0,0	3.2423794	1.0	2.2776659	0.50188506	1.0381944	2.3268452	0.2911098	2.7729652
chrV	17950000	17960000	chrV	19120000	19130000	0,0,0	3.8909638	1.0	1.9195743	1.565044	1.6952244	1.738686	0.7340888	3.1298363
chrV	20480000	20490000	chrV	20840000	20850000	0,0,0	3.018112	1.0	2.338593	0.29577804	0.7794203	2.373043	0.17975529	2.635957
chrV	1650000	1660000	chrV	2970000	2980000	0,0,0	2.4376533	0.9402254	1.6746191	0.76723236	0.99438953	2.1354828	0.33792746	2.817467
chrV	8730000	8740000	chrV	9810000	9820000	0,0,0	2.8925834	1.0	1.8959258	0.636811	0.89709187	1.6916854	0.30373964	2.2577398
chrV	7650000	7660000	chrV	8730000	8740000	0,0,0	3.76727	1.0	2.59225	0.47203487	0.80102414	1.708345	0.19324137	2.1279316
chrV	17850000	17860000	chrV	18080000	18090000	0,0,0	2.6011162	0.9344802	1.7183657	0.7287915	1.0809572	2.0778706	0.38919935	2.7256851
chrV	18980000	18990000	chrV	19120000	19130000	0,0,0	2.6368706	0.9540929	1.6491746	1.0630366	1.2719582	2.1365345	0.44483107	3.0814557
chrV	2990000	3000000	chrV	4280000	4290000	0,0,0	2.5267196	1.0	1.8821656	0.5871694	0.6887254	1.9425572	0.2637814	2.4644856
chrV	14250000	14260000	chrV	16190000	16200000	0,0,0	2.809206	0.94616336	1.8649511	0.97797024	1.045707	2.0527968	0.49494278	2.9221036
chrV	18860000	18870000	chrV	19120000	19130000	0,0,0	3.0418181	0.96431094	1.7655101	1.2555952	1.5575018	2.217172	0.49970296	3.3332565
